name,en_US,ja_JP,ko_KR,zh_CN
SeparateByLooseParts.desc,"Separates selected mesh by loose parts.
This acts like separating by materials but creates more meshes for more precision",,"선택된 메쉬를 느슨한 부분들별로 나눕니다.
이것은 매테리얼별로 분리시키는 것과 같지만 보다 높은 정확도를 위해 더 많은 메쉬들을 만듭니다","通过松散的部分分隔选定的网格。
这就像按材质分离一样，但会创建更多网格以获得更高的精度"
SeparateByLooseParts.success,Successfully separated by loose parts.,,성공적으로 느슨한 부분들로 분리됐습니다.,被松散的零件成功分离。
SeparateByShapekeys.label,Separate by Shape Keys,シェイプキーに区切る,쉐이프키별로 분리하기,用形态键分开
SeparateByShapekeys.desc,"Separates selected mesh into two parts,
depending on whether it is effected by a shape key or not.

Very useful for manual decimation",,"선택된 메쉬를 두 부분으로 나누는데,
쉐이프키에 의해 영향을 받는지 여부에 따라 결정됩니다.

수동으로 데시메이션을 할 시 매우 유용합니다","将选定的网格分成两部分，
取决于它是否受形态键的影响。

对于手动精简非常有用"
SeparateByShapekeys.success,Successfully separated by shape keys.,,성공적으로 쉐이프키별로 분리됐습니다.,通过形态键成功分离。
SeparateByCopyProtection.label,Separate by Copy Protection,コピープロテクションに分離する,복사핵 방지로 분리하기,通过复制保护分开
SeparateByCopyProtection.desc,"Separates selected mesh into two parts,
depending on whether it is effected by the Cats Copy Protection or not.

Useful if you have the Copy Protection enabled on multiple selected parts of your model",,"선택된 메쉬를 두 부분으로 나누는데,
Cats의 복사핵 방지의 영향을 받는지 여부에 따라 결정됩니다.

모델의 여러 부분에서 복사 방지를 활성화 한 경우 유용합니다.","将选定的网格分成两部分，
取决于它是否受 Cats Copy Protection 的影响。

如果您在模型的多个选定部分上启用了复制保护，则很有用"
SeparateByCopyProtection.success,Successfully separated by shape keys.,,성공적으로 쉐이프키별로 분리됐습니다.,通过形态键成功分离。
SeparateByX.error.noMesh,No meshes found!,,메쉬가 발견되지 않음!,未找到网格！
SeparateByX.error.multipleMesh,"Multiple meshes found!
Please select the mesh you want to separate!",,"여러 메쉬들이 발견됨!
나누고 싶은 메쉬를 선택해주세요!","找到多个网格！
请选择您要分离的网格！"
SeparateByX.warn.noSeparation,No meshes had to be separated!,,메쉬를 분리 할 필요가 없습니다!,无需分离网格！
MergeWeights.label,Merge Weights to Parent,親に重みをマージする,부모쪽으로 웨이트들을 통합,将权重合并到父级
MergeWeights.desc,"Deletes the selected bones and adds their weight to their respective parents.

Only available in Edit or Pose Mode with bones selected",,,"删除选定的骨骼并将它们的权重添加到它们各自的父级。

仅在选定骨骼的编辑或姿势模式下可用"
MergeWeights.success,Deleted {number} bones and added their weights to their parents.,,,删除了 {number} 个骨骼并将它们的权重添加到它们的父级。
MergeWeightsToActive.label,Merge Weights to Active,ウェイトをアクティブ にマージする,웨이트를 활성화된 본으로 통합,合并权重到活动
MergeWeightsToActive.desc,"Deletes the selected bones except the active one and adds their weights to the active bone.
The active bone is the one you selected last.

Only available in Edit or Pose Mode with bones selected",,,"删除除活动骨骼之外的选定骨骼，并将它们的权重添加到活动骨骼。
活动骨骼是您最后选择的骨骼。

仅在选定骨骼的编辑或姿势模式下可用"
MergeWeightsToActive.success,Deleted {number} bones and added their weights to the active bone.,,,删除了 {number} 个骨骼并将它们的权重添加到活动骨骼。
ApplyTransformations.label,Apply Transformations,変換を適用する,변환 적용,应用转换
ApplyTransformations.desc,"Applies the position, rotation and scale to the armature and it's meshes",,,将位置、旋转和比例应用于骨架及其网格
ApplyTransformations.success,Transformations applied.,,,应用了转换。
ApplyAllTransformations.label,Apply All Transformations,すべての変換を適用する,모든 변환 적용,应用所有转换
ApplyAllTransformations.desc,"Applies the position, rotation and scale of all objects",,,应用所有对象的位置、旋转和缩放
ApplyAllTransformations.success,Transformations applied.,,,应用了转换。
RemoveZeroWeightBones.label,Remove Zero Weight Bones,ゼロ ウェイト ボーンを削除する,제로 웨이트 본 제거,移除零权重骨骼
RemoveZeroWeightBones.desc,"Cleans up the bones hierarchy, deleting all bones that don't directly affect any vertices
Don't use this if you plan to use 'Fix Model'",,,"清理骨骼层次，删除所有不直接影响任何顶点的骨骼
如果您打算使用""修复模型""，请不要使用它"
RemoveZeroWeightBones.success,Deleted {number} zero weight bones.,,,删除了 {number} 个零权重骨骼。
RemoveZeroWeightGroups.label,Remove Zero Weight Vertex Groups,ゼロ ウェイトの頂点グループを削除,제로 웨이트 버텍스 그룹들 제거,删除零权重顶点组
RemoveZeroWeightGroups.desc,"Cleans up the vertex groups of all meshes, deleting all groups that don't directly affect any vertices",,,清理所有网格的顶点组，删除所有不直接影响任何顶点的组
RemoveZeroWeightGroups.success,Removed {number} zero weight vertex groups.,,,删除了 {number} 个零权重顶点组。
RemoveConstraints.label,Remove Bone Constraints,ボーン拘束を削除,본 컨스트레인트들 제거,移除骨骼约束
RemoveConstraints.desc,Removes constrains between bones causing specific bone movement as these are not used by VRChat,,,移除导致特定骨骼移动的骨骼之间的约束，因为 VRChat 不使用这些约束
RemoveConstraints.success,Removed all bone constraints.,,,删除了所有骨骼约束。
RecalculateNormals.label,Recalculate Normals,法線を再計算する,노말 재계산,重新计算法线
RecalculateNormals.desc,"Makes normals point inside of the selected mesh.

Don't use this on good looking meshes as this can screw them up.
Use this if there are random inverted or darker faces on the mesh",,,"使法线指向选定网格的内部。

不要在好看的网格上使用它，因为这会搞砸它们。
如果网格上有随机倒置或较暗的面，请使用此选项"
RecalculateNormals.success,Recalculated all normals.,,,重新计算所有法线。
FlipNormals.label,Flip Normals,法線を反転,노말 뒤집기,翻转法线
FlipNormals.desc,"Flips the direction of the faces' normals of the selected mesh.
Use this if all normals are inverted",,,"翻转选定网格的面法线方向。
如果所有法线都反转，请使用此选项"
FlipNormals.success,Flipped all normals.,,,翻转所有法线。
RemoveDoubles.label,Remove Doubles,ダブルスを削除する,이중 제거,删除重叠
RemoveDoubles.desc,"Merges duplicated faces and vertices of the selected meshes.
This is more safe than doing it manually:
  - leaves shape keys completely untouched
  - but removes less doubles overall",,"선택한 메시의 중복 면들(faces)과 점(vertices)을 병합합니다.
This is more safe than doing it manually:
  - leaves shape keys completely untouched
  - but removes less doubles overall","合并选定网格的重复面和顶点。
这比手动操作更安全：
- 完全保持形态键不变
- 但总体上去除的重叠较少"
RemoveDoubles.success,Removed {number} vertices.,,,移除了 {number} 个顶点。
RemoveDoublesNormal.label,Remove Doubles Normally,ダブルを通常どおりに削除する,일반적으로 이중 제거,正常删除重叠
RemoveDoublesNormal.desc,"Merges duplicated faces and vertices of the selected meshes.
This is exactly like doing it manually",,"선택한 메시의 중복 면들(faces)과 점(vertices)을 병합합니다.
This is exactly like doing it manually","合并选定网格的重复面和顶点。
这就像手动做一样"
RemoveDoublesNormal.success,Removed {number} vertices.,,,移除了 {number} 个顶点。
FixVRMShapesButton.label,Fix Koikatsu Shapekeys,コイカツシェイプキーを修正,코이카츠 쉐이프키 고치기,修复 Koikatsu 形态键
FixVRMShapesButton.desc,Fixes the shapekeys of Koikatsu models,,,修复了 Koikatsu 模型的形态键
FixVRMShapesButton.warn.notDetected,No shapekeys detected!,,,未检测到形态键！
FixVRMShapesButton.success,Fixed VRM shapekeys.,,,修复了 VRM 形态键。
FixFBTButton.label,Fix Full Body Tracking,全身追跡を修正,풀바디 트래킹 적용,修复全身追踪
FixFBTButton.desc,"WARNING: This fix is no longer needed for VRChat, you should not use it!

Applies a general fix for Full Body Tracking.
Ignore the ""Spine length zero"" warning in Unity",,,"警告：VRChat 不再需要此修复程序，您不应使用它！

对全身跟踪应用一般修复。
忽略 Unity 中的""Spine length zero""警告"
FixFBTButton.error.bonesNotFound,"Required bones could not be found!
Please make sure that your armature contains the following bones:
 - Hips, Spine, Left leg, Right leg
Exact names are required!",,,"找不到所需的骨头！
请确保您的骨架包含以下骨骼：
- 臀部、脊柱、左腿、右腿
需要准确的名字！"
FixFBTButton.error.alreadyApplied,Full Body Tracking Fix already applied!,,,全身追踪修复已应用！
FixFBTButton.success,Successfully applied the Full Body Tracking fix.,,,成功应用全身追踪修复。
RemoveFBTButton.label,Remove Full Body Tracking Fix,全身追跡の修正を削除,풀바디 트래킹 적용 제거,移除全身追踪修复
RemoveFBTButton.desc,"Removes the fix for Full Body Tracking, since it is no longer advised to use it.

Requires bones:
 - Hips, Spine, Left leg, Right leg, Left leg 2, Right leg 2",,,"移除全身追踪的修复，因为不再建议使用它。

需要骨头：
- 臀部、脊柱、左腿、右腿、左腿 2、右腿 2"
RemoveFBTButton.error.bonesNotFound,"Required bones could not be found!
Please make sure that your armature contains the following bones:
 - Hips, Spine, Left leg, Right leg, Left leg 2, Right leg 2
Exact names are required!",,,"找不到所需的骨头！
请确保您的骨架包含以下骨骼：
- 臀部、脊柱、左腿、右腿、左腿 2、右腿 2
需要准确的名字！"
RemoveFBTButton.error.notApplied,The Full Body Tracking Fix is not applied!,,,全身追踪修复未应用！
RemoveFBTButton.success,Successfully removed the Full Body Tracking fix.,,,成功移除全身追踪修复。
DuplicateBonesButton.label,Duplicate Bones,ボーンの複製,본 복사,重复骨骼
DuplicateBonesButton.desc,Duplicates the selected bones including their weight and renames them to _L and _R,,,复制选定的骨骼，包括它们的权重，并将它们重命名为 _L 和 _R
DuplicateBonesButton.success,Successfully duplicated {number} bones.,,,成功复制 {number} 个骨骼。
MergeArmature.label,Merge Armatures,マージアーマチュア,뼈대(Armatures) 통합,
MergeArmature.desc,"Merges the selected merge armature into the base armature.
You should fix both armatures with Cats first.
Only move the mesh of the merge armature to the desired position, the bones will be moved automatically",,,"将选定的合并骨架合并到基础骨架中。
您应该先用 Cats 修复两个骨架。
仅将合并骨架的网格移动到所需位置，骨骼将自动移动"
MergeArmature.error.notFound,"The armature ""{name}"" could not be found.",,,"找不到骨架""{name}""。"
MergeArmature.error.checkTransforms,"Please make sure that the parent of the merge armature has the following transforms:
 - Location at 0
 - Rotation at 0
 - Scale at 1",,,
MergeArmature.error.pleaseFix,"Please use the ""Fix Model"" feature on the selected armatures first!
Make sure to select the armature you want to fix above the ""Fix Model"" button!
After that please only move the mesh (not the armature!) to the desired position.",,,
MergeArmature.success,Armatures successfully joined.,,,骨架成功加入。
AttachMesh.label,Attach Mesh,メッシュをアタッチ,메쉬에 붙이기,附加网格
AttachMesh.desc,"Attaches the selected mesh to the selected bone of the selected armature.

INFO: The mesh will only be assigned to the selected bone.
E.g.: A jacket won't work, because it requires multiple bones",,,
AttachMesh.success,Mesh successfully attached to armature.,,,网格已成功连接到骨架。
CustomModelTutorialButton.label,How to use,使用方法,사용법,使用方法
CustomModelTutorialButton.URL,https://github.com/michaeldegroot/cats-blender-plugin#custom-model-creation,,,
CustomModelTutorialButton.success,Documentation opened.,Documentation,,文档打开。
merge_armatures.error.transformReset,"If you want to rotate the new part, only modify the mesh instead of the armature,
or select ""Apply Transforms""!

The transforms of the merge armature got reset and the mesh you have to modify got selected.
Now place this selected mesh where and how you want it to be and then merge the armatures again.
If you don't want that, undo this operation.",,,"如果要旋转新零件，只修改网格而不是骨架，
或选择""应用变换""！

合并骨架的变换被重置，您必须修改的网格被选中。
现在将此选定的网格放置在您想要的位置和方式，然后再次合并骨架。
如果您不想这样做，请撤消此操作。"
merge_armatures.error.pleaseUndo,"Something went wrong! Please undo, check your selections and try again.",,,出问题了！ 请撤消，检查您的选择，然后重试。
EnableSMC.label,Enable Material Combiner,マテリアルコンバイナを有効にする,매테리얼 통합기 활성화,启用材质组合器
EnableSMC.desc,Enables Material Combiner,,,
EnableSMC.success,Enabled Material Combiner!,,,
AtlasHelpButton.label,Generate Material List,材料リストを生成する,매테리얼 목록 생성,生成物料清单
AtlasHelpButton.desc,Open useful Atlas Tips,,,打开有用的 Atlas Tips
AtlasHelpButton.URL,https://github.com/michaeldegroot/cats-blender-plugin/#texture-atlas,,,
AtlasHelpButton.success,Atlas Help opened.,,,Atlas 帮助已打开。
InstallShotariya.label,Error while loading Material Combiner:,マテリアルコンバイナ読み込み中にエラーが発生しました:,매테리얼 통합기를 로드하는 중 오류 발생:,加载Material Combiner时出错：
InstallShotariya.error.install1,Material Combiner is not installed!,,,Material Combiner未安装！
InstallShotariya.error.install2,The plugin 'Material Combiner' by Shotariya is required for this function.,,,
InstallShotariya.error.install3,Please download and install it manually:,,,请手动下载并安装：
InstallShotariya.error.enable1,Material Combiner is not enabled!,,,
InstallShotariya.error.enable2,The plugin 'Material Combiner' by Shotariya is required for this function.,,,
InstallShotariya.error.enable3,Please enable it in your User Preferences.,,,请在您的用户首选项中启用它。
InstallShotariya.error.version1,Material Combiner is outdated!,,,材质合成器已过期
InstallShotariya.error.version2,The latest version is required for this function.,,,此功能需要最新版本。
InstallShotariya.error.version3,Please download and install it manually:,,,请手动下载并安装：
ShotariyaButton.label,Download Material Combiner,マテリアルコンバイナーをダウンロード,매테리얼 통합기 다운로드,下载材质合成器
ShotariyaButton.success,Material Combiner link opened,,,
ImmersiveScalerButton.success,Immersive Scaler link opened,,,
ImmersiveScalerButton.label,Download Immersive Scaler,,,
ImmersiveScalerButton.desc,Open latest Immersive Scaler release,,,
ImmersiveScalerHelpButton.URL,https://github.com/triazo/immersive_scaler,,,
ImmersiveScalerHelpButton.label,Immersive Scaler Help,,,
ImmersiveScalerHelpButton.desc,Open guide for Immersive Scaler,,,
ImmersiveScalerHelpButton.success,Immersive Scaler Readme opened,,,
EnableIMScale.label,Enable Immersive Scaler,,,
EnableIMScale.desc,Enable Immersive Scaler,,,
EnableIMScale.success,Enabled Immersive Scaler!,,,
BoneMergeButton.label,Merge Bones,ボーンをマージする,뼈 통합,合并骨骼
BoneMergeButton.desc,"Merges the given percentage of bones together.
This is useful to reduce the amount of bones used by Dynamic Bones.",,,
BoneMergeButton.success,Merged bones.,,,合并骨头。
ShowError.label,Report: Error,レポート: エラー,,报告：错误
CopyProtectionEnable.label,Enable Protection,保護を有効にする,보호 활성화,启用保护
CopyProtectionEnable.desc,"Protects your model from piracy. NOT a 100% safe protection!
Read the documentation before use",,,"保护您的模型免受盗版。 不是 100% 安全的保护！
使用前阅读文档"
CopyProtectionEnable.success,Model secured!,,,模型安全！
CopyProtectionDisable.label,Disable Protection,保護を無効にする,보호 비활성화,禁用保护
CopyProtectionDisable.desc,Removes the copy protections from this model.,,,删除此模型的复制保护。
CopyProtectionDisable.success,Model un-secured!,,,模型不安全！
ProtectionTutorialButton.label,Go to Documentation,ドキュメントに移動,문서로 이동,转到文档
ProtectionTutorialButton.URL,https://github.com/michaeldegroot/cats-blender-plugin#copy-protection,,,
ProtectionTutorialButton.success,Documentation,,,
ForumButton.label,Go to the Forums,フォーラムに移動する,포럼으로 가기,前往论坛
ForumButton.URL,https://vrcat.club/threads/cats-blender-plugin.6/,,,
ForumButton.success,Forum opened.,,,
DiscordButton.label,Join our Discord,Discordサーバーに参加する,디스코드에 가입하기,加入我们的Discord
DiscordButton.URL,https://discord.gg/f8yZGnv,,,
DiscordButton.success,Discord opened.,,,
PatchnotesButton.label,Latest Patchnotes,最新のパッチノート,최신 패치노트,最新公告
PatchnotesButton.URL,https://github.com/michaeldegroot/cats-blender-plugin/releases,,,
PatchnotesButton.success,Patchnotes opened.,,,
ScanButton.label,Scan for decimation models,デシメーション モデルのスキャン,버텍스 줄일 모델 검색,扫描精简模型
ScanButton.desc,Separates the mesh.,,,分离网格。
AddShapeButton.label,Add,追加,,追加
AddShapeButton.desc,"Adds the selected shape key to the whitelist.
This means that every mesh containing that shape key will be not decimated.",,,
AddMeshButton.label,Add,追加,,追加
AddMeshButton.desc,"Adds the selected mesh to the whitelist.
This means that this mesh will be not decimated.",,,"将选定的网格添加到白名单。
这意味着该网格不会被精简。"
RemoveShapeButton.label,Remove Shapekey,,,移除形态建
RemoveShapeButton.desc,"Removes the selected shape key from the whitelist.
This means that this shape key is no longer decimation safe!",,,"从白名单中删除选定的形态键。
这意味着这个形态键不再是精简安全的！"
RemoveMeshButton.label,Remove Mesh,,,删除网格
RemoveMeshButton.desc,"Removes the selected mesh from the whitelist.
This means that this mesh will be decimated.",,,"从白名单中删除选定的网格。
这意味着该网格将被精简。"
AutoDecimateButton.label,Quick Decimation,,버텍스 줄이기(Decimation),快速精简
AutoDecimateButton.desc,"This will automatically decimate your model while preserving the shape keys.
You should manually remove unimportant meshes first.",,,"这将在保留形状键的同时自动抽取您的模型。
您应该首先手动删除不重要的网格。"
AutoDecimateButton.error.noMesh,No meshes found!,,메쉬가 발견되지 않음!,未找到网格！
decimate.cantDecimateWithSettings,This model can not be decimated to {number} tris with the specified settings.,,,使用指定的设置，此模型无法抽取到 {number} 个面。
decimate.safeTryOptions,"Try to use Custom, Half or Full Decimation.",,,尝试使用自定义、半或全抽取。
decimate.halfTryOptions,Try to use Custom or Full Decimation.,,,尝试使用自定义或完全抽取。
decimate.customTryOptions,Select fewer shape keys and/or meshes or use Full Decimation.,,,选择更少的形状键和/或网格或使用完全抽取。
decimate.disableFingersOrIncrease,Disable 'Save Fingers' or increase the Tris Count.,,,"禁用""保存手指""或增加 面 计数。"
decimate.disableFingers,or disable 'Save Fingers'.,,,"或禁用""保存手指""。"
decimate.noDecimationNeeded,The model already has less than {number} tris. Nothing had to be decimated.,,,该模型已经有少于 {number} 个 面。 没有什么必须被摧毁。
decimate.cantDecimate1,The model could not be decimated to {number} tris.,,,无法将模型抽取到 {number} 个 面。
decimate.cantDecimate2,It got decimated as much as possible within the limits.,,,它在限制范围内尽可能地被淘汰。
CreateEyesButton.label,Create Eye Tracking,アイトラッキングを作成する,눈 추적(Eye Tracking) 생성,创建眼睛追踪
CreateEyesButton.desc,"This will let you track someone when they come close to you and it enables blinking.
You should do decimation before this operation.
Test the resulting eye movement in the 'Testing' tab.",,"누군가가 가까이 왔을 때 그 사람을 추적 할 수 있고 눈 깜박임을 가능하게합니다.
데시메이션이 필요하다면 이 작업 이전에 해야합니다.
눈 움직임을 'Testing' 탭에서 테스트하세요.","这将让您在某人靠近您时跟踪他们并启用闪烁。
您应该在此操作之前进行精简。
在""测试""选项卡中测试由此产生的眼睛移动。"
CreateEyesButton.error.noShapeSelected,"You have no shape keys selected.
Please choose a mesh containing shape keys or check ""Disable Eye Blinking"".",,"선택된 쉐이프키가 없습니다.
쉐이프키가 포함 된 메쉬를 선택하거나 ""눈 깜빡임 비활성화""에 체크하세요.","您没有选择任何形态键。
请选择包含形态键的网格或选中""禁用眼睛闪烁""。"
CreateEyesButton.error.missingBone,"The bone ""{bone}"" does not exist.",,,"骨骼""{bone}""不存在。"
CreateEyesButton.error.noVertex,"The bone ""{bone}"" has no existing vertex group or no vertices assigned to it.
This might be because you selected the wrong mesh or the wrong bone.
Also make sure that the selected eye bones actually move the eyes in pose mode.",,,"骨骼""{bone}""没有现有的顶点组或没有分配给它的顶点。
这可能是因为您选择了错误的网格或错误的骨骼。
还要确保选定的眼睛骨骼在姿势模式下实际移动眼睛。"
CreateEyesButton.error.dontUse,"Please do not use ""{eyeName}"" as the input bone.
If you are sure that you want to use that bone please rename it to ""{eyeNameShort}"".",,,"请不要使用""{eyeName}""作为输入骨骼。
如果您确定要使用该骨骼，请将其重命名为""{eyeNameShort}""。"
CreateEyesButton.error.hierarchy,"Eye tracking will not work unless the bone hierarchy is exactly as following: Hips > Spine > Chest > Neck > Head
Furthermore the mesh containing the eyes has to be called ""Body"" and the armature ""Armature"".",,,"除非骨骼层次完全如下所示，否则眼睛追踪将不起作用：臀部 > 脊柱 > 胸部 > 颈部 > 头部
此外，必须将包含眼睛的网格称为""Body""，将骨架称为""Armature""。"
CreateEyesButton.success,Created eye tracking!,,,创造了眼睛追踪！
StartTestingButton.label,Start Eye Testing,スタートアイテスト,눈 움직임 테스트 시작,开始眼睛测试
StartTestingButton.desc,"This will let you test how the eye movement will look ingame.
Don't forget to stop the Testing process afterwards.
Bones ""LeftEye"" and ""RightEye"" are required.",,,"这将让您测试眼睛移动在游戏中的表现。
之后不要忘记停止测试过程。
骨骼""LeftEye""和""RightEye""是必需的。"
StopTestingButton.label,Stop Eye Testing,ストップアイテスト,눈 움직임 테스트 중지,停止眼睛测试
StopTestingButton.desc,Stops the testing process.,,,停止测试过程。
StopTestingButton.error.tryAgain,Something went wrong. Please try eye testing again.,,,出问题了。 请再次尝试眼科测试。
ResetRotationButton.label,Reset Rotation,回転をリセットする,회전 초기화,重置旋转
ResetRotationButton.desc,This resets the eye positions.,,,这会重置眼睛位置。
AdjustEyesButton.label,Set Range,目の範囲を設定,범위 설정,设置范围
AdjustEyesButton.desc,"Lets you re-adjust the movement range of the eyes.
This gets saved",,,"让您重新调整眼睛的移动范围。
这被保存了"
AdjustEyesButton.error.noVertex,"The bone ""{bone}"" has no existing vertex group or no vertices assigned to it.
This might be because you selected the wrong mesh or the wrong bone.
Also make sure to join your meshes before creating eye tracking and make sure that the eye bones actually move the eyes in pose mode.",,,"骨骼""{bone}""没有现有的顶点组或没有分配给它的顶点。
这可能是因为您选择了错误的网格或错误的骨骼。
还要确保在创建眼睛追踪之前加入您的网格，并确保眼骨实际上在姿势模式下移动眼睛。"
StartIrisHeightButton.label,Start Iris Height Adjustment,アイリスの高さの調整を開始,눈동자 높이 조정 시작,开始光圈高度调整
StartIrisHeightButton.desc,"Lets you readjust the distance of the iris from the eye ball.
Use this to fix clipping of the iris into the eye ball.
This gets saved.",,,"让您调整虹膜与眼睛的距离。
使用它可以将虹膜夹入眼睛。
这得救了。"
TestBlinking.label,Test,テスト,테스트,测试
TestBlinking.desc,This lets you see how eye blinking will look in-game.,,게임 중에 눈 깜박임이 어떻게 보이는 지 확인할 수 있습니다.,这让您可以看到眨眼在游戏中的样子。
TestLowerlid.label,Test,テスト,테스트,测试
TestLowerlid.desc,This lets you see how lowerlids will look in-game.,,게임 중에 아래 눈꺼풀이 어떻게 보이는 지 확인할 수 있습니다.,这让您可以看到下眼睑在游戏中的外观。
ResetBlinkTest.label,Reset Shapes,図形をリセットする,쉐이프 초기화,重置形状
ResetBlinkTest.desc,This resets the blink testing.,,눈깜빡임 테스트를 초기화한다.,这将重置眨眼测试。
ImportAnyModel.label,Import Any Model,任意のモデルをインポート,아무 모델 불러오기,导入任何模型
ImportAnyModel.desc2.79,"Import a model of any supported type.

Supported types:
- MMD: .pmx/.pmd
- XNALara: .xps/.mesh/.ascii
- Source: .smd/.qc
- VRM: .vrm
- FBX .fbx
- DAE: .dae
- ZIP: .zip",,,"导入任何受支持类型的模型。

支持的类型：
- MMD：.pmx/.pmd
- XNALara: .xps/.mesh/.ascii
- Source: .smd/.qc
- VRM: .vrm
- FBX .fbx 
- DAE: .dae 
- ZIP: .zip"
ImportAnyModel.desc2.8,"Import a model of any supported type.

Supported types:
- MMD: .pmx/.pmd
- XNALara: .xps/.mesh/.ascii
- Source: .smd/.qc/.vta/.dmx
- VRM: .vrm
- FBX: .fbx
- DAE: .dae
- ZIP: .zip",,,"- 导入任何受支持类型的模型。

支持的类型：
- MMD：.pmx/.pmd
- XNALara：.xps/.mesh/.ascii
- Source：.smd/.qc/.vta/.dmx
- VRM：.vrm
- FBX：.fbx
- DAE：.dae
- ZIP：.zip"
ImportAnyModel.importantInfo.label,IMPORTANT INFO (hover here),重要な情報(ここにホバー),,重要信息（悬停在这里）
ImportAnyModel.importantInfo.desc,"If you want to modify the import settings, use the button next to the Import button.

",,,如果要修改导入设置，请使用导入按钮旁边的按钮。
ImportAnyModel.error.emptyZip,The selected zip file contains no importable models.,,,选定的 zip 文件不包含可导入的模型。
ImportAnyModel.error.unsupportedFBX,"The FBX file version is unsupported!
Please use a tool such as the ""Autodesk FBX Converter"" to make it compatible.",,,"FBX 文件版本不受支持！
请使用""Autodesk FBX Converter""等工具使其兼容。"
ZipPopup.label,Zip Model Selection:,圧縮モデルの選択:,Zip 모델 선택:,zip型号选择：
ZipPopup.desc,Shows the models contained in the zip files,,zip 파일에 포함된 모델들을 보여준다,显示 zip 文件中包含的模型
ZipPopup.selectModel1,Select which model you want to import,,,选择您要导入的模型
ZipPopup.selectModel2,Then confirm with OK,,,然后用 OK 确认
get_zip_content.choose,"Import model ""{model}"" from the zip ""{zipName}?""",,,"从压缩包""{zipName}""导入模型""{model}""？"
ModelsPopup.label,Select which you want to import:,インポートする項目を選択します:,불러올 형식을 선택:,选择要导入的：
ModelsPopup.desc,Show individual import options,,,显示单个导入选项
ImportMMD.label,MMD,,,
ImportMMD.desc,Import a MMD model (.pmx/pmd),,,导入 MMD 模型 (.pmx/pmd)
ImportXPS.label,XNALara,,,
ImportXPS.desc,Import a XNALara model (.xps/.mesh/.ascii),,,导入 XNALara 模型 (.xps/.mesh/.ascii)
ImportSource.label,Source,,,
ImportSource.desc,Import a Source model (.smd/.qc/.vta/.dmx),,,导入源模型 (.smd/.qc/.vta/.dmx)
ImportFBX.label,FBX,,,
ImportFBX.desc,Import a FBX model (.fbx),,,导入 FBX 模型 (.fbx)
ImportVRM.label,VRM,,,
ImportVRM.desc,Import a VRM model (.vrm),,,导入 VRM 模型 (.vrm)
InstallXPS.label,XPS Tools is not installed or enabled!,XPS ツールがインストールされていないか、有効になっていない!,,XPS 工具未安装或启用！
InstallSource.label,Source Tools is not installed or enabled!,ソース ツールがインストールされていないか、有効になっていません!,,源工具未安装或启用！
InstallVRM.label,VRM Importer is not installed or enabled!,VRMインポーターがインストールされていないか、有効になっていません!,,VRM Importer 未安装或未启用！
InstallX.pleaseInstall1,If it is not enabled please enable it in your User Preferences.,,,如果未启用，请在您的用户首选项中启用它。
InstallX.pleaseInstall2,If it is not installed please download and install it manually.,,,如果没有安装，请下载并手动安装。
InstallX.pleaseInstall3,Make sure to install the version for Blender {blenderVersion},,,确保安装 Blender {blenderVersion} 的版本
InstallX.pleaseInstallTesting,Currently you have to select 'Testing' in the addons settings.,,,"目前，您必须在插件设置中选择""测试""。"
EnableMMD.label,Mmd_tools is not enabled!,Mmd_toolsが有効になっていません!,Mmd_tools가 활성화되지 않음!,mmd_tools 未启用！
EnableMMD.required1,"The plugin ""mmd_tools"" is required for this function.",,,"此功能需要插件""mmd_tools""。"
EnableMMD.required2,Please restart Blender.,,,请重新启动blender。
XpsToolsButton.label,Download XPS Tools,XPSツールをダウンロード,XPS Tools 다운로드,下载 XPS 工具
XpsToolsButton.URL,https://github.com/johnzero7/XNALaraMesh,,,
XpsToolsButton.success,XPS Tools link opened,,,XPS 工具链接已打开
SourceToolsButton.label,Download Source Tools,ソースツールをダウンロード,Source Tools 다운로드,下载源工具
SourceToolsButton.URL,https://github.com/Artfunkel/BlenderSourceTools,,,
SourceToolsButton.success,Source Tools link opened,,,源工具链接已打开
VrmToolsButton.label,Download VRM Importer,VRMインポーターをダウンロード,VRM Importer 다운로드,下载 VRM 导入器
VrmToolsButton.URL_2.79,https://github.com/iCyP/VRM_IMPORTER_for_Blender2_79,,,
VrmToolsButton.URL_2.8,https://github.com/saturday06/VRM_IMPORTER_for_Blender2_8,,,
VrmToolsButton.success,VRM Importer link opened,,,VRM 进口商链接已打开
ExportModel.label,Export Model,モデルのエクスポート,모델 내보내기,导出模型
ExportModel.desc,"Export this model as .fbx for Unity.

Automatically sets the optimal export settings",,,"将此模型导出为 Unity 的 .fbx。

自动设置最佳导出设置"
ExportModel.error.notEnabled,FBX Exporter not enabled! Please enable it in your User Preferences.,,,FBX 导出器未启用！ 请在您的用户首选项中启用它。
ErrorDisplay.label,Warning:,警告:,경고:,警告:
ErrorDisplay.polygons1,Too many polygons!,,,多边形太多！
ErrorDisplay.polygons2,"You have {number} tris in this model, but you shouldn't have more than 70,000!",,,"此模型中有 {number} 个面，但不应超过 70,000！"
ErrorDisplay.polygons3,You should decimate before you export this model.,,,您应该在导出此模型之前进行精简。
ErrorDisplay.materials1,Model not optimized!,,,模型未优化！
ErrorDisplay.materials2,This model has {number} materials!,,,这个模型有 {number} 个材质！
